class,precision,recall,f1-score,support,f0.5-score,model
jewellery~necklaces~n/d,0.8698140200286123,0.9455676516329704,0.9061102831594634,643,0.8839779005524862,bayes
clothing~trousers~high-waisted trousers,0.4622178606476938,0.5032051282051282,0.48184143222506387,936,0.4698723064644852,bayes
clothing~trousers~leggings,0.648471615720524,0.7983870967741935,0.7156626506024095,372,0.6737749546279491,bayes
clothing~trousers~loose fit,0.43478260869565216,0.078125,0.13245033112582782,128,0.2272727272727273,bayes
clothing~trousers~n/d,0.0,0.0,0.0,47,,bayes
clothing~trousers~palazzo pants,0.5193370165745856,0.4665012406947891,0.49150326797385624,403,0.5078336034575904,bayes
clothing~trousers~regular & straight-leg trousers,0.6714009038089089,0.6368646662584201,0.6536769327467002,1633,0.6641972154809044,bayes
clothing~trousers~skinny trousers,0.4842105263157895,0.34980988593155893,0.4061810154525386,263,0.44965786901270777,bayes
clothing~trousers~slim-fit trousers,0.5489130434782609,0.3594306049822064,0.4344086021505376,281,0.4965585054080629,bayes
clothing~trousers~straight trousers,0.6357142857142857,0.42280285035629456,0.5078459343794579,842,0.5775470473718365,bayes
clothing~trousers~tailored trousers,0.48663522012578614,0.7042093287827076,0.5755462575546257,879,0.518686106921401,bayes
clothing~trousers~tapered trousers,0.6797235023041475,0.5296229802513465,0.5953582240161454,557,0.6432621020497166,bayes
clothing~trousers~track pants,0.8199623352165725,0.8817334953422439,0.8497267759562842,2469,0.831614332645733,bayes
clothing~trousers~wide-leg trousers,0.5555555555555556,0.09146341463414634,0.15706806282722513,164,0.2757352941176471,bayes
demi-fine jewellery~demi-fine earrings~n/d,0.8823529411764706,0.39473684210526316,0.5454545454545454,38,0.7075471698113207,bayes
demi-fine jewellery~demi-fine necklaces~n/d,0.78125,0.6756756756756757,0.7246376811594203,37,0.7575757575757576,bayes
fine jewellery~fine earrings~n/d,0.8571428571428571,0.35294117647058826,0.5,34,0.6666666666666666,bayes
fine jewellery~fine necklaces~n/d,0.8888888888888888,0.24242424242424243,0.38095238095238093,33,0.5797101449275363,bayes
fine jewellery~fine rings~n/d,0.9705882352941176,0.7674418604651163,0.8571428571428571,43,0.9217877094972067,bayes
jewellery~bracelets~n/d,0.9001490312965723,0.9235474006116208,0.9116981132075471,654,0.9047333732774119,bayes
jewellery~brooches & pins~n/d,1.0,0.5306122448979592,0.6933333333333334,49,0.8496732026143792,bayes
jewellery~earrings~n/d,0.8898916967509025,0.9647749510763209,0.9258215962441315,511,0.903923725705904,bayes
clothing~trousers~drop-crotch trousers,0.6721311475409836,0.5256410256410257,0.5899280575539568,78,0.6366459627329192,bayes
clothing~knitwear~jumpers,0.864433394399372,0.8793929712460063,0.8718490167612511,3756,0.8673844537815125,bayes
watches~fashion watches~n/d,0.8813559322033898,0.9811320754716981,0.9285714285714285,53,0.8996539792387542,bayes
